방송Code,방송구분,프로그램명,PD,SH,TD,상품ID,MD담당자명,부서코드,부서명,협력사ID,협력사명
1007278436368,생방송,인테리어,국성훈,"최한빛,박채린",이만혁,10247467,"전상운,박경은",3111105,생활1팀,100003,(주)산업기업유통센터
1042278521746,생방송,가공수산,윤가석,"이서경,이장혁",송창장,10062745,엄은미,3121305,식품3팀,100004,물산업협동조합중앙회
1010278625933,생방송,TV 행복한백화점,강승필,"하재원,박서희",이만혁,10445045,전승아,3111205,생활2팀,100003,(주)산업기업유통센터
1019278736159,생방송,건강식품,이혁철,박장혜,송창장,10243838,심인혜,3121405,식품4팀,102798,(주)혁스하쥬스
1019278836159,생방송,건강식품,이혁철,박장혜,송창장,10248984,심인혜,3121405,식품4팀,102798,(주)혁스하쥬스
1040278921405,재방송,재방_가공농산,,,,10241729,"최만훈,최만훈",3121105,식품1팀,100002,산협경제지주㈜
1041279026827,재방송,재방_가공축산,,,,10248869,최성욱,3121205,식품2팀,101448,주식회사제이턱코리아익스터내셔날
1021279124682,재방송,재방_신선수산,,,,10064478,임도석,3121305,식품3팀,102569,예준익스터패셔날
1021279236558,재방송,재방_신선수산,,,,10408585,육경만,3121305,식품3팀,100004,물산업협동조합중앙회
1003279336616,재방송,재방_생활용품,,,,10402977,"이서소,최의",3111105,생활1팀,102249,(주)규쥬아이앤씨
1010279437102,재방송,재방_의류,,,,10435141,박조호A,3111205,생활2팀,102160,주식회사비앤에스컴퍼니
1041279510090,재방송,게릴라 프로모션,,,,10078420,"최형권,최주선",3121205,식품2팀,100002,산협경제지주㈜
1045279627446,생방송,가전,최성철,최규좌,임미라,10115848,"가길호,남주혜",3111405,생활4팀,101239,주식회사에버홈
1016279721661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10243099,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1016279821661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10220672,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1016279921661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10220056,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1016280021661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10220700,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1016280121661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10220084,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1016280221661,생방송,뷰티룸,안수연,"박상언,이주혁",이인호,10243106,"이수만,장주환",3111305,생활3팀,101426,주식회사선쥬상사
1022280336303,생방송,신선농산,임명순,"임주원,이장혁",임미라,10444799,"최병규,최만훈",3121105,식품1팀,100002,산협경제지주㈜
1021280420452,생방송,신선수산,송승희,"박주혁B,권기문",이인호,10087760,엄은미,3121305,식품3팀,100004,물산업협동조합중앙회
1003280535947,생방송,생활용품,이효경,"박장혜,이수완",임미라,10118414,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
1003280635947,생방송,생활용품,이효경,"박장혜,이수완",임미라,10241701,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
1003280735947,생방송,생활용품,이효경,"박장혜,이수완",임미라,10241727,"이서소,최의",3111105,생활1팀,104360,주식회사 벤하임코리아
1040280836871,생방송,가공농산,가관석,이효만,송병호,10420781,"최병규,황새롬",3121105,식품1팀,103727,(주)펜타플래닝
1013280937081,생방송,F_잡화,이이규,"이유경,최규영",이인호,10435481,"전승아,전승아",3111305,생활3팀,105012,(주)턱케이대경
1040281021275,생방송,가공농산,유이환,"박원이,권기문",송병호,10445043,"최병규,최만훈",3121105,식품1팀,100002,산협경제지주㈜
1042281125865,생방송,가공수산,박소흥,"최채원,안덕혁",윤주혁,10096325,"최희수,최성욱",3121305,식품3팀,102787,주식회사형마루
1016281236856,생방송,창의혁신 날개를 달아드립니다,안수연,"이주혁,최규재",송병호,10444610,"이수만,장주환",3111305,생활3팀,101748,에스엘뮤턱어넷
1016281336856,생방송,창의혁신 날개를 달아드립니다,안수연,"이주혁,최규재",송병호,10444611,"이수만,장주환",3111305,생활3팀,101748,에스엘뮤턱어넷
1021281436933,생방송,어랍쇼,이명섭,이서경,최백장,10421092,육경만,3121305,식품3팀,100004,물산업협동조합중앙회
1041281526837,생방송,가공축산,윤가석,이유경,윤주혁,10435976,"최성욱,최형권",3121205,식품2팀,101448,주식회사제이턱코리아익스터내셔날
1007281627389,생방송,인테리어,이재가,"이효만,최소희",최백장,10445038,"전상운,박경은",3111105,생활1팀,104266,다빈치스타일
